Repo,App,Status,Notes,PR Link
"truvolv/jbr-by-capital","jbr-micro-new-england","completed","already updated (not counted toward batch)",""
"truvolv/jbr-by-capital","main-jbr-capital","completed","already updated (not counted toward batch)",""
"truvolv/home-value-renovation","main-site","completed","already updated (not counted toward batch)",""
"truvolv/main-abc-jacuzzi","abcnd-micro-bath","completed","already updated (not counted toward batch)",""
"truvolv/main-abc-jacuzzi","abcnd-micro-roof","completed","already updated (not counted toward batch)",""
"truvolv/main-abc-jacuzzi","abcnd-micro-siding","completed","already updated (not counted toward batch)",""
"truvolv/main-abc-jacuzzi","abcnd-micro-window","completed","already updated (not counted toward batch)",""
"truvolv/main-abc-jacuzzi","main-abc-seamless-jacuzzi","partial, needs manual update","next.config.mjs not updated",""
"truvolv/ohio-state-windows","osw-main","completed","already updated (not counted toward batch)",""
"truvolv/hegg-windows-doors","h-w-d","completed","already updated (not counted toward batch)",""
"truvolv/direct-remodels","main-dr","completed","already updated (not counted toward batch)",""
"truvolv/black-rock-roofing","brr-main","completed","already updated (not counted toward batch)",""
"truvolv/main-bath-remodel-by-c","brc-micro-ct","completed","already updated (not counted toward batch)",""
"truvolv/main-bath-remodel-by-c","main-bath-remodel-by-c","completed","already updated (not counted toward batch)",""
"truvolv/asp-windows","main-asp-w","completed","already updated (not counted toward batch)",""
"truvolv/leap","leap-main","completed","already updated (not counted toward batch)",""
"truvolv/yrp","yrp-main","completed","already updated (not counted toward batch)",""
"truvolv/florida-energy-water-air-pure","fewa-pure","completed","already updated (not counted toward batch)",""
"truvolv/florida-energy-water-air-pure","lp-fewa-pentair","completed","already updated (not counted toward batch)",""
"truvolv/florida-energy-water-air-pure","lp-fewa-pentair-new","completed","already updated (not counted toward batch)",""
"truvolv/florida-energy-water-air-pure","main-fewa","completed","already updated (not counted toward batch)",""
"truvolv/florida-energy-water-air-pure","micro-water-treat","completed","already updated (not counted toward batch)",""
"truvolv/ltg-coatings","ltgc-main","completed","already updated (not counted toward batch)",""
"truvolv/erdmann-exteriors","main-erdmann-ext","completed","already updated (not counted toward batch)",""
"truvolv/207-roofers","main-207-roofers","completed","already updated (not counted toward batch)",""
"truvolv/bathroom-pros-nj","bpnj-main-site","completed","already updated (not counted toward batch)",""
"truvolv/on-track-doors","otd-main-site","completed","already updated (not counted toward batch)",""
"truvolv/bath-works-mi","bwmi-main-site","completed","already updated (not counted toward batch)",""
"truvolv/bath-works-mi","lp-go-bath-works-mi","completed","already updated (not counted toward batch)",""
