Repo,App,Status,Notes
"truvolv/main-abc-jacuzzi","main-abc-seamless-jacuzzi","manual-update-required","Custom member edits in next.config.mjs"
"truvolv/trim-a-seal","trim-a-seal-main","manual-update-required","Custom member edits in next.config.mjs"
"truvolv/frey","frey-main","manual-update-required","Custom member edits in next.config.mjs"
"truvolv/jacuzzi","jbr-custom","manual-update-required","Custom member edits in next.config.mjs"
"truvolv/jacuzzi","jbr-main","manual-update-required","Custom member edits in next.config.mjs"
"truvolv/clear-choice-hi","cchi-main","manual-update-required","Custom member edits in next.config.mjs"
"truvolv/innovative-gutter-solutions","igs-main","manual-update-required","Custom member edits in next.config.mjs"
"truvolv/secure-cc","secure-construction-company","manual-update-required","Custom member edits in next.config.mjs"
